virus	strain	date	country	source	county	state
WNV	WNV_17_Yuma_AZ_08272018_2018.6534	2018-08-27	WNV_17_Yuma_AZ_08272018_2018.6534	Public	YUMA	AZ
WNV	WNV_20_Yuma_AZ_08132018_2018.6151	2018-08-13	WNV_20_Yuma_AZ_08132018_2018.6151	Public	YUMA	AZ
WNV	WNV_49808_9108_Ce_NV_07162018_2018.5384	2018-07-16	WNV_49808_9108_Ce_NV_07162018_2018.5384	Public	CLARK	NV
WNV	WNV_52751_9764_Cq_NV_08162018_2018.6233	2018-08-16	WNV_52751_9764_Cq_NV_08162018_2018.6233	Public	CLARK	NV
WNV	WNV_77366_11357_Cs_NV_05302019_2019.4096	2019-05-30	WNV_77366_11357_Cs_NV_05302019_2019.4096	Public	CLARK	NV
WNV	WNV_78319_11627_Cq_NV_06052019_2019.426	2019-06-05	WNV_78319_11627_Cq_NV_06052019_2019.426	Public	CLARK	NV
WNV	WNV_78325_11622_Cq_NV_06052019_2019.426	2019-06-05	WNV_78325_11622_Cq_NV_06052019_2019.426	Public	CLARK	NV
WNV	WNV_80719_12016_Cq_NV_060242019_2019.4781	2019-06-24	WNV_80719_12016_Cq_NV_060242019_2019.4781	Public	CLARK	NV
WNV	WNV_81857_12174_Cq_NV_07012019_2019.4973	2019-07-01	WNV_81857_12174_Cq_NV_07012019_2019.4973	Public	CLARK	NV
WNV	WNV_82669_12413_Cq_NV_070102019_2019.4973	2019-07-01	WNV_82669_12413_Cq_NV_070102019_2019.4973	Public	CLARK	NV
WNV	WNV_83189_12364_Cq_NV_07092019_2019.5192	2019-07-09	WNV_83189_12364_Cq_NV_07092019_2019.5192	Public	CLARK	NV
WNV	WNV_83204_12442_Cq_NV_07092019_2019.5192	2019-07-09	WNV_83204_12442_Cq_NV_07092019_2019.5192	Public	CLARK	NV
WNV	WNV_83216_12406_Cq_NV_070112019_2019.5247	2019-07-11	WNV_83216_12406_Cq_NV_070112019_2019.5247	Public	CLARK	NV
WNV	WNV_83237_12454_Ct_NV_070152019_2019.5356	2019-07-15	WNV_83237_12454_Ct_NV_070152019_2019.5356	Public	CLARK	NV
WNV	WNV_83240_12450_Ct_NV_070152019_2019.5356	2019-07-15	WNV_83240_12450_Ct_NV_070152019_2019.5356	Public	CLARK	NV
WNV	WNV_83253_12482_Cq_NV_070162019_2019.5384	2019-07-16	WNV_83253_12482_Cq_NV_070162019_2019.5384	Public	CLARK	NV
WNV	WNV_83688_12544_Cq_NV_070172019_2019.5411	2019-07-17	WNV_83688_12544_Cq_NV_070172019_2019.5411	Public	CLARK	NV
WNV	WNV_83689_12551_Cq_NV_070172019_2019.5411	2019-07-17	WNV_83689_12551_Cq_NV_070172019_2019.5411	Public	CLARK	NV
WNV	WNV_84352_12613_Cq_NV_070232019_2019.5575	2019-07-23	WNV_84352_12613_Cq_NV_070232019_2019.5575	Public	CLARK	NV
WNV	WNV_84777_12761_Cq_NV_070252019_2019.563	2019-07-25	WNV_84777_12761_Cq_NV_070252019_2019.563	Public	CLARK	NV
WNV	WNV_84784_12766_Cq_NV_070252019_2019.563	2019-07-25	WNV_84784_12766_Cq_NV_070252019_2019.563	Public	CLARK	NV
